Hour,Latitude,Longitude,Pm 2.5
11,28.792,77.1331,135
12,28.792,77.1331,123.75
13,28.792,77.1331,87.75
14,28.792,77.1331,80
15,28.792,77.1331,75.75
16,28.792,77.1331,72
17,28.792,77.1331,74.75
18,28.792,77.1331,87.25
19,28.792,77.1331,107.5
20,28.792,77.1331,141
21,28.792,77.1331,190.75
22,28.792,77.1331,238
23,28.792,77.1331,226.25
0,28.792,77.1331,215
1,28.792,77.1331,218.25
2,28.792,77.1331,245.5
3,28.792,77.1331,207.25
4,28.792,77.1331,175
5,28.792,77.1331,164.5
6,28.792,77.1331,166.25
7,28.792,77.1331,189.25
8,28.792,77.1331,205.75
9,28.792,77.1331,221.5
10,28.792,77.1331,215.25
11,28.792,77.1331,142.5
12,28.792,77.1331,100.5
13,28.792,77.1331,95
14,28.792,77.1331,87.75
15,28.792,77.1331,75
16,28.792,77.1331,75.75
17,28.792,77.1331,81.5
18,28.792,77.1331,97.25
19,28.792,77.1331,119.75
20,28.792,77.1331,145.75
21,28.792,77.1331,177
22,28.792,77.1331,225.25
23,28.792,77.1331,240.5
0,28.792,77.1331,222.75
1,28.792,77.1331,192.5
2,28.792,77.1331,171.75
3,28.792,77.1331,195.5
4,28.792,77.1331,220.75
5,28.792,77.1331,208
6,28.792,77.1331,196.75
7,28.792,77.1331,186.25
8,28.792,77.1331,183.75
9,28.792,77.1331,217
10,28.792,77.1331,227.5
11,28.792,77.1331,187.5
12,28.792,77.1331,150
13,28.792,77.1331,110.75
14,28.792,77.1331,101
15,28.792,77.1331,101
16,28.792,77.1331,101.25
17,28.792,77.1331,100.5
18,28.792,77.1331,96.25
19,28.792,77.1331,106
20,28.792,77.1331,142
21,28.792,77.1331,169
22,28.792,77.1331,166.5
23,28.792,77.1331,152.25
0,28.792,77.1331,110.75
1,28.792,77.1331,96.5
2,28.792,77.1331,109.5
3,28.792,77.1331,109.25
4,28.792,77.1331,113
5,28.792,77.1331,112.5
6,28.792,77.1331,110
7,28.792,77.1331,110.5
8,28.792,77.1331,120
9,28.792,77.1331,113
10,28.792,77.1331,95.75
11,28.792,77.1331,75.25
12,28.792,77.1331,58.75
13,28.792,77.1331,53.5
14,28.792,77.1331,62.25
15,28.792,77.1331,74.25
16,28.792,77.1331,68.5
17,28.792,77.1331,58
18,28.792,77.1331,65.5
19,28.792,77.1331,85.75
20,28.792,77.1331,82.25
21,28.792,77.1331,91.25
22,28.792,77.1331,86.5
23,28.792,77.1331,81.75
0,28.792,77.1331,93
1,28.792,77.1331,104
