Hour,Latitude,Longitude,PM10
0,28.792,77.1331,302.5
1,28.792,77.1331,280
2,28.792,77.1331,281.5
3,28.792,77.1331,266.25
4,28.792,77.1331,277.25
5,28.792,77.1331,246
6,28.792,77.1331,274.5
7,28.792,77.1331,357.75
8,28.792,77.1331,375.25
9,28.792,77.1331,356.75
10,28.792,77.1331,318.5
11,28.792,77.1331,275
12,28.792,77.1331,188.75
13,28.792,77.1331,117.25
14,28.792,77.1331,110.5
15,28.792,77.1331,103.75
16,28.792,77.1331,98.25
17,28.792,77.1331,106.75
18,28.792,77.1331,141.25
19,28.792,77.1331,219.75
20,28.792,77.1331,312
21,28.792,77.1331,441.25
22,28.792,77.1331,476
23,28.792,77.1331,452.25
0,28.792,77.1331,391
1,28.792,77.1331,394
2,28.792,77.1331,458.75
3,28.792,77.1331,383.75
4,28.792,77.1331,300.75
5,28.792,77.1331,285.25
6,28.792,77.1331,281.75
7,28.792,77.1331,306.75
8,28.792,77.1331,345.75
9,28.792,77.1331,367.25
10,28.792,77.1331,336.25
11,28.792,77.1331,212.25
12,28.792,77.1331,147
13,28.792,77.1331,129.25
14,28.792,77.1331,125.25
15,28.792,77.1331,111.75
16,28.792,77.1331,114
17,28.792,77.1331,129
18,28.792,77.1331,187
19,28.792,77.1331,236.75
20,28.792,77.1331,315
21,28.792,77.1331,435.5
22,28.792,77.1331,399
23,28.792,77.1331,451.75
0,28.792,77.1331,439.5
1,28.792,77.1331,346.5
2,28.792,77.1331,310.5
3,28.792,77.1331,343.25
4,28.792,77.1331,395.5
5,28.792,77.1331,367.25
6,28.792,77.1331,327
7,28.792,77.1331,308
8,28.792,77.1331,308.5
9,28.792,77.1331,340.25
10,28.792,77.1331,311.25
11,28.792,77.1331,269.5
12,28.792,77.1331,236
13,28.792,77.1331,189.25
14,28.792,77.1331,170.5
15,28.792,77.1331,162.5
16,28.792,77.1331,177.25
17,28.792,77.1331,175
18,28.792,77.1331,186.25
19,28.792,77.1331,197.25
20,28.792,77.1331,222.5
21,28.792,77.1331,260
22,28.792,77.1331,256.5
23,28.792,77.1331,228.25
0,28.792,77.1331,168.75
1,28.792,77.1331,150.5
2,28.792,77.1331,154
3,28.792,77.1331,162
4,28.792,77.1331,170.25
5,28.792,77.1331,177.25
6,28.792,77.1331,171.75
7,28.792,77.1331,155.5
8,28.792,77.1331,159.75
9,28.792,77.1331,150.75
10,28.792,77.1331,155.25
11,28.792,77.1331,155
12,28.792,77.1331,130
13,28.792,77.1331,120.5
14,28.792,77.1331,136.5
15,28.792,77.1331,159
16,28.792,77.1331,148.75
17,28.792,77.1331,145.25
18,28.792,77.1331,153.75
19,28.792,77.1331,169
20,28.792,77.1331,148.25
21,28.792,77.1331,153.25
22,28.792,77.1331,135.25
23,28.792,77.1331,127.5
0,28.792,77.1331,140
1,28.792,77.1331,147.5
2,28.792,77.1331,163
3,28.792,77.1331,182.25
4,28.792,77.1331,136.5
5,28.792,77.1331,128
6,28.792,77.1331,143.5
7,28.792,77.1331,148
8,28.792,77.1331,153.75
9,28.792,77.1331,141.25
10,28.792,77.1331,128.75
11,28.792,77.1331,115
12,28.792,77.1331,113.75
13,28.792,77.1331,128
14,28.792,77.1331,176
15,28.792,77.1331,216.75
16,28.792,77.1331,142.75
17,28.792,77.1331,118.5
18,28.792,77.1331,113
19,28.792,77.1331,126.5
20,28.792,77.1331,146.25
21,28.792,77.1331,134
22,28.792,77.1331,126.25
23,28.792,77.1331,140.5
0,28.792,77.1331,154.25
1,28.792,77.1331,181.5
2,28.792,77.1331,181.5
3,28.792,77.1331,189.5
4,28.792,77.1331,203
5,28.792,77.1331,201.25
6,28.792,77.1331,170.25
7,28.792,77.1331,173.5
8,28.792,77.1331,168.25
9,28.792,77.1331,160
10,28.792,77.1331,160.5
11,28.792,77.1331,132
12,28.792,77.1331,120.75
13,28.792,77.1331,116.5
14,28.792,77.1331,125.25
15,28.792,77.1331,128.75
16,28.792,77.1331,128
17,28.792,77.1331,128
18,28.792,77.1331,141
19,28.792,77.1331,166.75
20,28.792,77.1331,245.75
21,28.792,77.1331,232.75
22,28.792,77.1331,191.5
23,28.792,77.1331,246.25
0,28.792,77.1331,287.5
1,28.792,77.1331,284.75
2,28.792,77.1331,287.5
3,28.792,77.1331,279.75
4,28.792,77.1331,282
5,28.792,77.1331,295
6,28.792,77.1331,313.5
7,28.792,77.1331,356.5
8,28.792,77.1331,433.5
9,28.792,77.1331,444.25
10,28.792,77.1331,384
11,28.792,77.1331,270.75
12,28.792,77.1331,215.75
13,28.792,77.1331,142.25
14,28.792,77.1331,110.25
15,28.792,77.1331,100
16,28.792,77.1331,90.75
17,28.792,77.1331,85.5
18,28.792,77.1331,99
19,28.792,77.1331,139
21,28.792,77.1331,527
22,28.792,77.1331,531
23,28.792,77.1331,530.25
0,28.792,77.1331,449.25
1,28.792,77.1331,327
2,28.792,77.1331,347.75
3,28.792,77.1331,346
4,28.792,77.1331,334
5,28.792,77.1331,382.75
6,28.792,77.1331,371.5
7,28.792,77.1331,410.75
8,28.792,77.1331,487.5
9,28.792,77.1331,449
10,28.792,77.1331,338
17,28.792,77.1331,241
18,28.792,77.1331,241
19,28.792,77.1331,218
20,28.792,77.1331,214.75
21,28.792,77.1331,210.25
22,28.792,77.1331,228.25
23,28.792,77.1331,235
0,28.792,77.1331,253.25
1,28.792,77.1331,229.5
2,28.792,77.1331,229.5
3,28.792,77.1331,231
4,28.792,77.1331,227.5
5,28.792,77.1331,248.5
6,28.792,77.1331,264.5
7,28.792,77.1331,280
8,28.792,77.1331,316.25
9,28.792,77.1331,331.75
10,28.792,77.1331,263.75
11,28.792,77.1331,233
12,28.792,77.1331,169
13,28.792,77.1331,136.25
14,28.792,77.1331,129.75
15,28.792,77.1331,132.25
16,28.792,77.1331,119.75
17,28.792,77.1331,119
18,28.792,77.1331,157
19,28.792,77.1331,200
20,28.792,77.1331,343
21,28.792,77.1331,450.75
22,28.792,77.1331,490.5
23,28.792,77.1331,504
0,28.792,77.1331,509.25
1,28.792,77.1331,472.25
2,28.792,77.1331,430.25
3,28.792,77.1331,378.75
4,28.792,77.1331,380.75
5,28.792,77.1331,346.25
6,28.792,77.1331,338.5
7,28.792,77.1331,303
8,28.792,77.1331,353.75
9,28.792,77.1331,464
10,28.792,77.1331,483.25
11,28.792,77.1331,257
12,28.792,77.1331,202.75
13,28.792,77.1331,166.25
14,28.792,77.1331,168.25
15,28.792,77.1331,180.75
16,28.792,77.1331,206.5
17,28.792,77.1331,205.25
18,28.792,77.1331,211.25
19,28.792,77.1331,229.5
20,28.792,77.1331,237.75
21,28.792,77.1331,231.75
22,28.792,77.1331,202.25
23,28.792,77.1331,188
0,28.792,77.1331,196
1,28.792,77.1331,182.5
2,28.792,77.1331,181.25
3,28.792,77.1331,192.25
4,28.792,77.1331,194
5,28.792,77.1331,189.25
6,28.792,77.1331,196.5
7,28.792,77.1331,212.75
8,28.792,77.1331,232.25
9,28.792,77.1331,243.25
10,28.792,77.1331,262
11,28.792,77.1331,280
17,28.792,77.1331,169
18,28.792,77.1331,171.5
19,28.792,77.1331,185
20,28.792,77.1331,197.5
21,28.792,77.1331,205
22,28.792,77.1331,186.5
23,28.792,77.1331,120
0,28.792,77.1331,97.5
1,28.792,77.1331,109.5
2,28.792,77.1331,95.5
3,28.792,77.1331,81.5
4,28.792,77.1331,68.5
5,28.792,77.1331,60.5
6,28.792,77.1331,58.5
7,28.792,77.1331,59
8,28.792,77.1331,34
9,28.792,77.1331,86
10,28.792,77.1331,138
11,28.792,77.1331,39
12,28.792,77.1331,36
13,28.792,77.1331,22.5
14,28.792,77.1331,12
15,28.792,77.1331,14.5
16,28.792,77.1331,17
18,28.792,77.1331,19
19,28.792,77.1331,23
20,28.792,77.1331,36.5
21,28.792,77.1331,48
22,28.792,77.1331,49
23,28.792,77.1331,51.5
0,28.792,77.1331,51.5
1,28.792,77.1331,48
2,28.792,77.1331,58
3,28.792,77.1331,60
4,28.792,77.1331,52.5
5,28.792,77.1331,49.5
6,28.792,77.1331,45
7,28.792,77.1331,44
10,28.792,77.1331,51
11,28.792,77.1331,47.5
12,28.792,77.1331,46
13,28.792,77.1331,48.75
14,28.792,77.1331,41.25
15,28.792,77.1331,47
16,28.792,77.1331,44
0,28.5517,77.275,504.95
1,28.5517,77.275,481.2
2,28.5517,77.275,402.1
3,28.5517,77.275,393.5
4,28.5517,77.275,331.49
5,28.5517,77.275,320.33
6,28.5517,77.275,352.06
7,28.5517,77.275,418.96
8,28.5517,77.275,478.65
9,28.5517,77.275,485.66
10,28.5517,77.275,455
11,28.5517,77.275,287.73
12,28.5517,77.275,144.89
13,28.5517,77.275,150.62
14,28.5517,77.275,186.45
15,28.5517,77.275,157.27
16,28.5517,77.275,143.53
17,28.5517,77.275,156.59
18,28.5517,77.275,290.77
19,28.5517,77.275,379.3
20,28.5517,77.275,444.57
21,28.5517,77.275,485.64
22,28.5517,77.275,675.58
23,28.5517,77.275,680.45
0,28.5517,77.275,602.3
1,28.5517,77.275,580.87
2,28.5517,77.275,539.94
3,28.5517,77.275,503.37
4,28.5517,77.275,515.46
5,28.5517,77.275,433.64
6,28.5517,77.275,465.87
7,28.5517,77.275,502.55
8,28.5517,77.275,590.86
9,28.5517,77.275,372.65
10,28.5517,77.275,252.28
11,28.5517,77.275,231.64
12,28.5517,77.275,144.47
13,28.5517,77.275,159.41
14,28.5517,77.275,156.36
15,28.5517,77.275,153.11
16,28.5517,77.275,153.07
17,28.5517,77.275,183
18,28.5517,77.275,310.61
19,28.5517,77.275,358.08
20,28.5517,77.275,489.7
21,28.5517,77.275,557.83
22,28.5517,77.275,655.14
23,28.5517,77.275,605.73
0,28.5517,77.275,555.76
1,28.5517,77.275,479.5
2,28.5517,77.275,401.92
3,28.5517,77.275,359.89
4,28.5517,77.275,361.42
5,28.5517,77.275,391.31
6,28.5517,77.275,433.49
7,28.5517,77.275,432.11
8,28.5517,77.275,450.62
9,28.5517,77.275,432.78
10,28.5517,77.275,375.64
11,28.5517,77.275,292.01
12,28.5517,77.275,243.87
13,28.5517,77.275,262.78
14,28.5517,77.275,221.24
15,28.5517,77.275,201.52
16,28.5517,77.275,199.38
17,28.5517,77.275,207.63
18,28.5517,77.275,262.98
19,28.5517,77.275,311.86
20,28.5517,77.275,286.04
21,28.5517,77.275,302.15
22,28.5517,77.275,327.96
23,28.5517,77.275,257.34
0,28.5517,77.275,211.83
1,28.5517,77.275,228.5
2,28.5517,77.275,196.55
3,28.5517,77.275,162.08
4,28.5517,77.275,140.85
5,28.5517,77.275,159.03
6,28.5517,77.275,177.93
7,28.5517,77.275,247.49
8,28.5517,77.275,244.75
9,28.5517,77.275,202.66
10,28.5517,77.275,225.23
11,28.5517,77.275,218.15
12,28.5517,77.275,159.14
13,28.5517,77.275,152.66
14,28.5517,77.275,166.56
15,28.5517,77.275,178.28
16,28.5517,77.275,172.13
17,28.5517,77.275,195.22
18,28.5517,77.275,190.93
19,28.5517,77.275,257.21
20,28.5517,77.275,278.39
21,28.5517,77.275,242.49
22,28.5517,77.275,182.32
23,28.5517,77.275,173
0,28.5517,77.275,189.94
1,28.5517,77.275,173.44
2,28.5517,77.275,158.99
3,28.5517,77.275,146.17
4,28.5517,77.275,145.87
